date,price
2019-05-20 09:30:00,181.62
2019-05-20 09:31:00,182.61
2019-05-20 09:32:00,182.7458
2019-05-20 09:33:00,182.95
2019-05-20 09:34:00,183.06
2019-05-20 09:35:00,183.05
2019-05-20 09:36:00,182.6
2019-05-20 09:37:00,182.4
2019-05-20 09:38:00,182.25
2019-05-20 09:39:00,182.3
2019-05-20 09:40:00,181.99
2019-05-20 09:41:00,182.4435
2019-05-20 09:42:00,182.6524
2019-05-20 09:43:00,182.37
2019-05-20 09:44:00,182.33
2019-05-20 09:45:00,182.56
2019-05-20 09:46:00,182.82
2019-05-20 09:47:00,182.74599999999998
2019-05-20 09:48:00,182.38
2019-05-20 09:49:00,182.3
2019-05-20 09:50:00,181.82
2019-05-20 09:51:00,181.9956
2019-05-20 09:52:00,182.1465
2019-05-20 09:53:00,182.08
2019-05-20 09:54:00,182.15
2019-05-20 09:55:00,182.54
2019-05-20 09:56:00,182.77
2019-05-20 09:57:00,182.76
2019-05-20 09:58:00,182.8
2019-05-20 09:59:00,182.935
2019-05-20 10:00:00,182.74
2019-05-20 10:01:00,182.6
2019-05-20 10:02:00,182.78
2019-05-20 10:03:00,182.84
2019-05-20 10:04:00,183.01
2019-05-20 10:05:00,183.17
2019-05-20 10:06:00,183.23
2019-05-20 10:07:00,183.26
2019-05-20 10:08:00,183.25099999999998
2019-05-20 10:09:00,183.4
2019-05-20 10:10:00,183.03
2019-05-20 10:11:00,182.98
2019-05-20 10:12:00,183.03
2019-05-20 10:13:00,183.085
2019-05-20 10:14:00,183.18
2019-05-20 10:15:00,183.14
2019-05-20 10:16:00,183.12
2019-05-20 10:17:00,183.13
2019-05-20 10:18:00,183.19
2019-05-20 10:19:00,183.11
2019-05-20 10:20:00,183.13
2019-05-20 10:21:00,183.04
2019-05-20 10:22:00,183.17
2019-05-20 10:23:00,183.36
2019-05-20 10:24:00,183.4491
2019-05-20 10:25:00,183.84
2019-05-20 10:26:00,183.9083
2019-05-20 10:27:00,183.7607
2019-05-20 10:28:00,183.75
2019-05-20 10:29:00,183.66
2019-05-20 10:30:00,183.61
2019-05-20 10:31:00,183.69
2019-05-20 10:32:00,183.7999
2019-05-20 10:33:00,183.87
2019-05-20 10:34:00,184.14
2019-05-20 10:35:00,184.18
2019-05-20 10:36:00,184.09099999999998
2019-05-20 10:37:00,183.93
2019-05-20 10:38:00,183.92
2019-05-20 10:39:00,183.89
2019-05-20 10:40:00,183.98
2019-05-20 10:41:00,183.91
2019-05-20 10:42:00,183.94
2019-05-20 10:43:00,183.87
2019-05-20 10:44:00,183.53
2019-05-20 10:45:00,183.6015
2019-05-20 10:46:00,183.55
2019-05-20 10:47:00,183.63
2019-05-20 10:48:00,183.6001
2019-05-20 10:49:00,183.4462
2019-05-20 10:50:00,183.4281
2019-05-20 10:51:00,183.44
2019-05-20 10:52:00,183.44
2019-05-20 10:53:00,183.4443
2019-05-20 10:54:00,183.38
2019-05-20 10:55:00,183.69
2019-05-20 10:56:00,183.75
2019-05-20 10:57:00,183.68200000000002
2019-05-20 10:58:00,183.82
2019-05-20 10:59:00,183.83
2019-05-20 11:00:00,183.8811
2019-05-20 11:01:00,183.63
2019-05-20 11:02:00,183.405
2019-05-20 11:03:00,183.37
2019-05-20 11:04:00,183.29
2019-05-20 11:05:00,183.27
2019-05-20 11:06:00,183.35
2019-05-20 11:07:00,183.26
