datetime,source_ip,username,success,failure_reason
2018-11-01 00:10:24.868560,142.89.86.32,vkim,True,
2018-11-01 00:50:36.191231,142.89.86.32,vkim,True,
2018-11-01 01:01:42.607900,53.218.180.231,ysmith,True,
2018-11-01 01:02:06.374218,53.218.180.231,ysmith,True,
2018-11-01 01:35:19.704392,53.218.180.231,ysmith,True,
2018-11-01 01:50:30.589144,131.96.35.217,vkim,True,
2018-11-01 01:59:15.818651,142.89.86.32,vkim,True,
2018-11-01 02:18:17.590017,207.155.244.183,asmith,True,
2018-11-01 02:21:04.704887,215.20.132.248,asmith,True,
2018-11-01 02:27:37.517736,80.56.196.222,vkim,True,
2018-11-01 03:12:53.100117,207.155.244.183,asmith,False,error_wrong_password
2018-11-01 03:12:54.100117,207.155.244.183,asmith,True,
2018-11-01 03:18:42.154904,224.104.25.198,obrown,True,
2018-11-01 03:26:07.217574,207.155.244.183,asmith,True,
2018-11-01 03:35:43.190833,207.155.244.183,asmith,True,
2018-11-01 03:37:07.535007,224.104.25.198,obrown,True,
2018-11-01 03:41:14.081227,207.155.244.183,asmith,True,
2018-11-01 03:55:47.552332,224.104.25.198,obrown,True,
2018-11-01 04:23:29.659638,1.138.149.116,osmith,True,
2018-11-01 04:47:14.297832,1.138.149.116,osmith,False,error_wrong_password
2018-11-01 04:47:15.297832,1.138.149.116,osmith,True,
2018-11-01 04:52:19.083412,1.138.149.116,osmith,True,
2018-11-01 04:55:17.017831,1.138.149.116,osmith,True,
2018-11-01 05:03:23.796668,1.138.149.116,osmith,True,
2018-11-01 05:05:12.689772,89.6.241.209,dsmith,True,
2018-11-01 05:09:07.706420,78.6.234.40,dsmith,True,
2018-11-01 05:32:37.144934,89.6.241.209,dsmith,True,
2018-11-01 05:39:06.697757,159.182.198.128,dsmith,True,
2018-11-01 06:02:54.790910,239.172.63.151,jkim,True,
2018-11-01 06:29:22.902052,96.19.200.227,jkim,True,
2018-11-01 07:11:07.977397,27.220.232.250,pkim,True,
2018-11-01 08:44:52.700685,6.112.83.253,sjones,True,
2018-11-01 09:24:02.331737,33.252.134.155,ismith,True,
2018-11-01 09:24:46.195279,93.154.130.170,ismith,True,
2018-11-01 09:30:43.613448,208.196.196.31,ismith,True,
2018-11-01 09:33:01.918953,208.196.196.31,ismith,True,
2018-11-01 10:08:44.513570,87.170.218.31,bbrown,True,
2018-11-01 10:44:30.667759,23.143.69.122,fjnes,False,error_wrong_username
2018-11-01 10:44:31.667759,23.143.69.122,fjnes,False,error_wrong_username
2018-11-01 10:44:32.667759,23.143.69.122,ljones,False,error_wrong_password
2018-11-01 10:44:33.667759,23.143.69.122,ljones,False,error_wrong_password
2018-11-01 10:44:34.667759,23.143.69.122,alpez,False,error_wrong_username
2018-11-01 10:44:35.667759,23.143.69.122,alpez,False,error_wrong_username
2018-11-01 10:44:36.667759,23.143.69.122,wkim,False,error_wrong_password
2018-11-01 10:44:37.667759,23.143.69.122,wkim,False,error_wrong_password
2018-11-01 10:44:38.667759,23.143.69.122,hkim,False,error_wrong_password
2018-11-01 10:44:39.667759,23.143.69.122,hkim,False,error_wrong_password
2018-11-01 10:44:40.667759,23.143.69.122,kkm,False,error_wrong_username
2018-11-01 10:44:41.667759,23.143.69.122,kkm,False,error_wrong_username
2018-11-01 10:44:42.667759,23.143.69.122,kim,False,error_wrong_username
2018-11-01 10:44:43.667759,23.143.69.122,jkim,False,error_wrong_password
2018-11-01 10:44:44.667759,23.143.69.122,gkim,True,
2018-11-01 10:44:45.667759,23.143.69.122,msmwth,False,error_wrong_username
2018-11-01 10:44:46.667759,23.143.69.122,msmwth,False,error_wrong_username
2018-11-01 10:44:47.667759,23.143.69.122,psmith,False,error_wrong_password
2018-11-01 10:44:48.667759,23.143.69.122,psmith,True,
2018-11-01 10:44:49.667759,23.143.69.122,gbrown,True,
2018-11-01 10:44:50.667759,23.143.69.122,njone,False,error_wrong_username
2018-11-01 10:44:51.667759,23.143.69.122,njone,False,error_wrong_username
2018-11-01 10:44:52.667759,23.143.69.122,tbrown,False,error_wrong_password
2018-11-01 10:44:53.667759,23.143.69.122,tbrown,False,error_wrong_password
2018-11-01 10:44:54.667759,23.143.69.122,rlopez,False,error_wrong_password
2018-11-01 10:44:55.667759,23.143.69.122,rlopez,True,
2018-11-01 10:44:56.667759,23.143.69.122,pjones,True,
2018-11-01 10:44:57.667759,23.143.69.122,kbrown,False,error_wrong_password
2018-11-01 10:44:58.667759,23.143.69.122,kbrown,False,error_wrong_password
2018-11-01 10:44:59.667759,23.143.69.122,ksmuth,False,error_wrong_username
2018-11-01 10:45:00.667759,23.143.69.122,ksmuth,False,error_wrong_username
2018-11-01 10:45:01.667759,23.143.69.122,frown,False,error_wrong_username
2018-11-01 10:45:02.667759,23.143.69.122,frown,False,error_wrong_username
2018-11-01 10:45:03.667759,23.143.69.122,xjenes,False,error_wrong_username
2018-11-01 10:45:04.667759,23.143.69.122,xjenes,False,error_wrong_username
2018-11-01 10:45:05.667759,23.143.69.122,cbrown,False,error_wrong_password
2018-11-01 10:45:06.667759,23.143.69.122,cbrown,True,
2018-11-01 10:45:07.667759,23.143.69.122,mbrown,True,
2018-11-01 10:45:08.667759,23.143.69.122,ykim,True,
2018-11-01 10:45:09.667759,23.143.69.122,gjones,True,
2018-11-01 10:45:10.667759,23.143.69.122,llqpez,False,error_wrong_username
2018-11-01 10:45:11.667759,23.143.69.122,llqpez,False,error_wrong_username
2018-11-01 10:45:12.667759,23.143.69.122,ykim,True,
2018-11-01 10:45:13.667759,23.143.69.122,elopz,False,error_wrong_username
2018-11-01 10:45:14.667759,23.143.69.122,elopz,False,error_wrong_username
2018-11-01 10:45:15.667759,23.143.69.122,hjones,False,error_wrong_password
2018-11-01 10:45:16.667759,23.143.69.122,hjones,True,
2018-11-01 10:45:17.667759,23.143.69.122,nlope,False,error_wrong_username
2018-11-01 10:45:18.667759,23.143.69.122,nlope,False,error_wrong_username
2018-11-01 10:45:19.667759,23.143.69.122,dlopez,False,error_wrong_password
2018-11-01 10:45:20.667759,23.143.69.122,dlopez,True,
2018-11-01 10:45:21.667759,23.143.69.122,smith,False,error_wrong_username
2018-11-01 10:45:22.667759,23.143.69.122,smith,False,error_wrong_username
2018-11-01 10:45:23.667759,23.143.69.122,rki,False,error_wrong_username
2018-11-01 10:45:24.667759,23.143.69.122,rki,False,error_wrong_username
2018-11-01 10:45:25.667759,23.143.69.122,zbrowz,False,error_wrong_username
2018-11-01 10:45:26.667759,23.143.69.122,zbrowz,False,error_wrong_username
2018-11-01 10:45:27.667759,23.143.69.122,jsmath,False,error_wrong_username
2018-11-01 10:45:28.667759,23.143.69.122,jsmath,False,error_wrong_username
2018-11-01 10:45:29.667759,23.143.69.122,ulopez,False,error_wrong_password
2018-11-01 10:45:30.667759,23.143.69.122,ulopez,True,
2018-11-01 10:45:31.667759,23.143.69.122,hsmith,False,error_wrong_password
2018-11-01 10:45:32.667759,23.143.69.122,hsmith,True,
2018-11-01 10:45:33.667759,23.143.69.122,akem,False,error_wrong_username
2018-11-01 10:45:34.667759,23.143.69.122,akem,False,error_wrong_username
2018-11-01 10:45:35.667759,23.143.69.122,zjones,False,error_wrong_password
2018-11-01 10:45:36.667759,23.143.69.122,zjones,True,
2018-11-01 10:45:37.667759,23.143.69.122,wsmith,False,error_wrong_password
2018-11-01 10:45:38.667759,23.143.69.122,wsmith,True,
2018-11-01 10:45:39.667759,23.143.69.122,brown,False,error_wrong_username
2018-11-01 10:45:40.667759,23.143.69.122,brown,False,error_wrong_username
2018-11-01 10:45:41.667759,23.143.69.122,jjones,False,error_wrong_password
2018-11-01 10:45:42.667759,23.143.69.122,jjones,True,
2018-11-01 10:45:43.667759,23.143.69.122,ekim,False,error_wrong_password
2018-11-01 10:45:44.667759,23.143.69.122,ekim,False,error_wrong_password
2018-11-01 10:45:45.667759,23.143.69.122,ilopez,False,error_wrong_password
2018-11-01 10:45:46.667759,23.143.69.122,ilopez,True,
2018-11-01 10:45:47.667759,23.143.69.122,lopez,False,error_wrong_username
2018-11-01 10:45:48.667759,23.143.69.122,lopez,False,error_wrong_username
2018-11-01 10:45:49.667759,23.143.69.122,njones,False,error_wrong_password
2018-11-01 10:45:50.667759,23.143.69.122,njones,True,
2018-11-01 10:45:51.667759,23.143.69.122,sbrown,True,
2018-11-01 10:45:52.667759,23.143.69.122,oblown,False,error_wrong_username
2018-11-01 10:45:53.667759,23.143.69.122,oblown,False,error_wrong_username
2018-11-01 10:45:54.667759,23.143.69.122,bkim,False,error_wrong_password
2018-11-01 10:45:55.667759,23.143.69.122,bkim,True,
2018-11-01 10:45:56.667759,23.143.69.122,wloped,False,error_wrong_username
2018-11-01 10:45:57.667759,23.143.69.122,wloped,False,error_wrong_username
2018-11-01 10:45:58.667759,23.143.69.122,umith,False,error_wrong_username
2018-11-01 10:45:59.667759,23.143.69.122,umith,False,error_wrong_username
2018-11-01 10:46:00.667759,23.143.69.122,sim,False,error_wrong_username
2018-11-01 10:46:01.667759,23.143.69.122,sim,False,error_wrong_username
2018-11-01 10:46:02.667759,23.143.69.122,tkm,False,error_wrong_username
2018-11-01 10:46:03.667759,23.143.69.122,tkm,False,error_wrong_username
2018-11-01 10:46:04.667759,23.143.69.122,xrown,False,error_wrong_username
2018-11-01 10:46:05.667759,23.143.69.122,xbrown,True,
2018-11-01 10:46:06.667759,23.143.69.122,fsmith,True,
2018-11-01 10:46:07.667759,23.143.69.122,wbrown,False,error_wrong_password
